wavelength,original,predicted,residual
330.0,0.690073,0.6386711414839669,0.05140185851603318
329.5,0.690435,0.6331496397705826,0.05728536022941744
329.0,0.697104,0.6315065147955532,0.06559748520444675
328.5,0.68736,0.6221356316787876,0.06522436832121237
328.0,0.689045,0.6200062372799124,0.06903876272008758
327.5,0.689428,0.6182369661805681,0.07119103381943193
327.0,0.670414,0.6171555380124514,0.05325846198754858
326.5,0.680347,0.6143310357792503,0.06601596422074973
326.0,0.685047,0.6167588302958409,0.06828816970415907
325.5,0.672441,0.6181568773140133,0.0542841226859867
325.0,0.683554,0.6184592417938234,0.0650947582061766
324.5,0.667218,0.6272518930901102,0.039966106909889776
324.0,0.680959,0.6374743543435429,0.043484645656457044
323.5,0.670866,0.6378534774738694,0.03301252252613052
323.0,0.680142,0.6373370545162388,0.042804945483761236
322.5,0.665172,0.6378055841044481,0.027366415895551888
322.0,0.653127,0.6365586829563752,0.016568317043624825
321.5,0.664882,0.6396414366788222,0.025240563321177745
321.0,0.670482,0.6412765650004352,0.02920543499956485
320.5,0.65544,0.6415167844820305,0.01392321551796949
320.0,0.651129,0.6369144580884305,0.014214541911569456
319.5,0.621399,0.6343405591082131,-0.012941559108213041
319.0,0.620628,0.6373745283431642,-0.016746528343164258
318.5,0.61372,0.6313446892680206,-0.01762468926802052
318.0,0.624659,0.6294260286740541,-0.004767028674054097
317.5,0.602695,0.626282035826688,-0.023587035826687974
317.0,0.59346,0.6223393100771093,-0.02887931007710931
316.5,0.584072,0.6285210047959808,-0.044449004795980795
316.0,0.591631,0.6269234095333052,-0.03529240953330515
315.5,0.606427,0.6263073155247592,-0.019880315524759107
315.0,0.6036,0.6311693181185157,-0.027569318118515707
314.5,0.603659,0.6313255085093264,-0.027666508509326504
314.0,0.615679,0.636378846822253,-0.02069984682225301
313.5,0.616577,0.6367357847712354,-0.02015878477123534
313.0,0.635559,0.6420515566792907,-0.0064925566792907174
312.5,0.651465,0.6477903310992765,0.0036746689007234323
312.0,0.649514,0.6446972702431568,0.004816729756843219
311.5,0.648141,0.6451706587636779,0.002970341236322116
311.0,0.675093,0.6519541638045624,0.023138836195437662
310.5,0.682664,0.6622874047009663,0.020376595299033795
310.0,0.695856,0.6743185798368218,0.021537420163178278
